,MLB Birth State Counts,Marlins Birth State Counts,Marlins Percentage
AL,0.0,5,3.968253968253968
AZ,0.0,2,1.5873015873015872
NC,0.0,4,3.1746031746031744
NE,0.0,1,0.7936507936507936
NH,0.0,2,1.5873015873015872
NJ,0.0,5,3.968253968253968
NM,0.0,1,0.7936507936507936
NV,0.0,2,1.5873015873015872
NY,0.0,5,3.968253968253968
OH,0.0,3,2.380952380952381
OK,0.0,2,1.5873015873015872
OR,0.0,3,2.380952380952381
PA,0.0,4,3.1746031746031744
SC,0.0,2,1.5873015873015872
TN,0.0,1,0.7936507936507936
TX,0.0,9,7.142857142857142
UT,0.0,1,0.7936507936507936
VA,0.0,2,1.5873015873015872
WA,0.0,3,2.380952380952381
MT,0.0,1,0.7936507936507936
MS,0.0,3,2.380952380952381
MO,0.0,3,2.380952380952381
IA,0.0,2,1.5873015873015872
CA,0.0,22,17.46031746031746
CO,0.0,2,1.5873015873015872
CT,0.0,4,3.1746031746031744
D.C.,0.0,1,0.7936507936507936
FL,0.0,9,7.142857142857142
GA,0.0,2,1.5873015873015872
HI,0.0,1,0.7936507936507936
ID,0.0,1,0.7936507936507936
MN,0.0,6,4.761904761904762
IL,0.0,4,3.1746031746031744
IN,0.0,1,0.7936507936507936
KS,0.0,1,0.7936507936507936
KY,0.0,1,0.7936507936507936
MA,0.0,2,1.5873015873015872
ME,0.0,1,0.7936507936507936
MI,0.0,1,0.7936507936507936
WY,0.0,1,0.7936507936507936
